iter	Passed	Remaining
0	2	1112
1	5	1202
2	7	1130
3	9	1082
4	12	1072
5	14	1052
6	16	1030
7	18	1011
8	20	1028
9	23	1015
10	25	1005
11	27	994
12	29	984
13	31	976
14	33	968
15	35	959
16	37	964
17	40	980
18	43	994
19	45	986
20	47	979
21	50	974
22	52	977
23	55	977
24	57	973
25	59	968
26	61	963
27	63	959
28	65	955
29	68	961
30	71	963
31	73	959
32	75	955
33	77	951
34	79	946
35	81	942
36	84	945
37	87	946
38	90	949
39	92	945
40	94	942
41	96	937
42	99	938
43	102	942
44	104	938
45	106	934
46	108	930
47	110	926
48	112	924
49	115	920
50	117	919
51	119	915
52	121	911
53	123	907
54	125	904
55	128	901
56	130	901
57	133	902
58	135	900
59	138	899
60	140	897
61	143	896
62	145	894
63	147	891
64	149	887
65	151	883
66	154	880
67	156	876
68	158	876
69	160	873
70	162	870
71	165	867
72	167	865
73	169	862
74	171	858
75	174	858
76	176	855
77	178	852
78	181	850
79	183	847
80	185	844
81	187	841
82	189	838
83	191	835
84	193	832
85	195	829
86	198	826
87	200	823
88	202	821
89	204	818
90	206	815
91	208	812
92	210	809
93	213	807
94	215	804
95	217	802
96	219	799
97	221	796
98	223	793
99	226	791
100	228	788
101	230	785
102	232	783
103	234	780
104	236	778
105	238	775
106	241	772
107	243	769
108	245	766
109	247	763
110	248	760
111	250	757
112	252	754
113	255	752
114	257	749
115	259	746
116	261	743
117	263	740
118	265	737
119	267	735
120	269	732
121	271	730
122	273	728
123	276	725
124	278	723
125	280	721
126	282	718
127	284	716
128	287	714
129	289	712
130	291	710
131	293	707
132	295	705
133	298	702
134	300	700
135	302	698
136	304	696
137	306	693
138	309	691
139	311	689
140	313	687
141	315	684
142	318	682
143	320	680
144	322	678
145	324	675
146	326	673
147	329	671
148	331	669
149	333	667
150	335	665
151	337	662
152	340	660
153	342	657
154	344	655
155	346	653
156	348	650
157	350	648
158	352	645
159	355	643
160	357	640
161	359	638
162	361	636
163	363	633
164	365	631
165	367	629
166	369	626
167	371	624
168	374	622
169	376	620
170	378	618
171	381	616
172	383	613
173	385	611
174	388	609
175	390	607
176	392	605
177	394	603
178	396	601
179	399	598
180	401	596
181	403	594
182	405	591
183	407	589
184	410	587
185	412	584
186	414	582
187	416	580
188	420	580
189	423	579
190	425	577
191	427	575
192	430	572
193	432	570
194	435	569
195	437	566
196	439	564
197	441	562
198	443	559
199	445	557
200	448	555
201	450	552
202	452	550
203	454	548
204	456	545
205	458	543
206	461	541
207	463	539
208	465	536
209	467	534
210	469	532
211	471	529
212	473	527
213	476	525
214	478	523
215	481	521
216	483	518
217	485	516
218	487	514
219	489	512
220	491	509
221	494	507
222	496	505
223	499	503
224	501	501
225	503	498
226	505	496
227	507	494
228	509	491
229	511	489
230	514	487
231	516	485
232	518	482
233	520	480
234	522	478
235	524	475
236	527	473
237	529	471
238	531	469
239	534	467
240	536	465
241	538	463
242	540	460
243	543	459
244	546	456
245	548	454
246	550	452
247	553	450
248	555	448
249	557	445
250	560	444
251	562	441
252	564	439
253	566	437
254	569	435
255	571	432
256	573	430
257	576	429
258	578	426
259	580	424
260	583	422
261	585	420
262	587	417
263	590	416
264	592	413
265	595	411
266	597	409
267	599	407
268	601	404
269	604	402
270	606	400
271	609	398
272	612	397
273	614	394
274	617	392
275	619	390
276	621	388
277	624	386
278	626	383
279	628	381
280	631	379
281	633	377
282	635	375
283	637	372
284	640	370
285	642	368
286	644	366
287	646	363
288	649	361
289	651	359
290	654	357
291	656	355
292	658	353
293	661	350
294	663	348
295	665	346
296	667	344
297	670	342
298	673	340
299	675	337
300	677	335
301	680	333
302	682	330
303	684	328
304	687	326
305	689	324
306	691	322
307	693	319
308	696	317
309	698	315
310	700	313
311	703	311
312	705	308
313	707	306
314	710	304
315	712	302
316	714	299
317	716	297
318	719	295
319	721	293
320	724	291
321	726	288
322	728	286
323	731	284
324	733	282
325	736	280
326	738	277
327	740	275
328	743	273
329	745	271
330	747	268
331	750	266
332	752	264
333	754	262
334	757	259
335	759	257
336	761	255
337	764	253
338	766	251
339	769	248
340	771	246
341	774	244
342	776	242
343	778	239
344	781	237
345	784	235
346	786	233
347	788	231
348	791	228
349	794	226
350	796	224
351	799	222
352	802	220
353	804	218
354	807	215
355	809	213
356	812	211
357	814	209
358	817	207
359	819	204
360	822	202
361	825	200
362	827	198
363	830	196
364	833	194
365	837	192
366	840	190
367	843	187
368	846	185
369	850	183
370	853	181
371	855	179
372	858	177
373	861	175
374	865	173
375	869	171
376	872	169
377	876	166
378	880	164
379	898	165
380	901	163
381	905	161
382	908	158
383	913	156
384	916	154
385	919	152
386	921	150
387	925	147
388	929	145
389	932	143
390	935	141
391	938	138
392	941	136
393	945	134
394	948	132
395	951	129
396	954	127
397	958	125
398	961	122
399	965	120
400	968	118
401	971	116
402	975	113
403	978	111
404	981	109
405	984	106
406	986	104
407	989	101
408	992	99
409	995	97
410	999	94
411	1003	92
412	1007	90
413	1010	87
414	1013	85
415	1015	83
416	1018	80
417	1021	78
418	1024	75
419	1027	73
420	1030	71
421	1033	68
422	1036	66
423	1039	63
424	1041	61
425	1044	58
426	1047	56
427	1049	53
428	1052	51
429	1055	49
430	1058	46
431	1061	44
432	1064	41
433	1066	39
434	1070	36
435	1073	34
436	1076	32
437	1079	29
438	1081	27
439	1084	24
440	1087	22
441	1090	19
442	1092	17
443	1095	14
444	1097	12
445	1100	9
446	1103	7
447	1105	4
448	1108	2
449	1110	0
